frame,urdu,english,punjabi,punjabi_gur
Base,فاطمہ سے پنسل الٹ جائے گی,Fatima will accidentally flip the pencil,فاطمہ توں پنسل الٹ جاوے گی,ਫਾਤਿਮਾ ਤੋਂ ਪੈਨਸਿਲ ਉਲਟ ਜਾਵੇਗੀ
Base,ثنا سے گڑیا کھسک گئی ہے,Sana has accidentally moved the doll,ثنا توں گڈی کھسک گئی اے,ਸਨਾ ਤੋਂ ਗੱਡੀ ਖਸਕ ਗਈ ਏ
Base,لڑکے سے گاڑیاں ٹوٹ گئیں,the boy accidentally broke the cars,منڈے توں گڈیاں ٹُٹ گئیاں,ਮੁੰਡੇ ਤੋਂ ਗੱਡੀਆਂ ਟੁੱਟ ਗਈਆਂ
Base,فاطمہ سے قلم جل گئے,Fatima accidentally burned the pen,فاطمہ توں قلم سڑ گئے,ਫਾਤਿਮਾ ਤੋਂ ਕਲਮ ਸੜ ਗਏ
Base,لڑکے سے کتابیں ٹوٹ گئیں,the boy accidentally broke the books,منڈے توں کتاباں ٹُٹ گئیاں,ਮੁੰਡੇ ਤੋਂ ਕਿਤਾਬਾਂ ਟੁੱਟ ਗਈਆਂ
Base,طالبہ سے گاڑی جل رہی ہے,the student is accidentally burning the car,شاگرد توں گڈّی سڑ رہی اے,ਸ਼ਾਗਿਰਦ ਤੋਂ ਗੱਡੀ ਸੜ ਰਹੀ ਏ
Base,استاد سے چابی الٹ گئی,the teacher accidentally flipped the key,استاد توں کنجی الٹ گئی,ਉਸਤਾਦ ਤੋਂ ਕੁੰਜੀ ਉਲਟ ਗਈ
Base,ثنا سے دروازے کھسک گئے,Sana accidentally moved the doors,ثنا توں بوہے کھسک گئے,ਸਨਾ ਤੋਂ ਬੂਹੇ ਖਸਕ ਗਏ
Base,فاطمہ سے کپ کھسک رہا ہے,Fatima is accidentally moving the cup,فاطمہ توں کپ کھسک رہا اے,ਫਾਤਿਮਾ ਤੋਂ ਕਪ ਖਸਕ ਰਿਹਾ ਏ
Base,رانی سے قلم گر گئے,the queen accidentally dropped the pen,رانی توں قلم ڈِگ گئے,ਰਾਨੀ ਤੋਂ ਕਲਮ ਡਿੱਗ ਗਏ
Base,موٹو سے کھلونے ٹوٹ گئے,Motu accidentally broke the toys,موٹو توں کھڈونے ٹُٹ گئے,ਮੋਟੂ ਤੋਂ ਖਿਡੌਣੇ ਟੁੱਟ ਗਏ
Base,طالبہ سے قلم الٹ جائے گا,the student will accidentally flip the pen,شاگرد توں قلم الٹ جاوے گا,ਸ਼ਾਗਿਰਦ ਤੋਂ ਕਲਮ ਉਲਟ ਜਾਵੇਗਾ
Base,فاطمہ سے گاڑیاں گر گئیں,Fatima accidentally dropped the cars,فاطمہ توں گڈیاں ڈِگ گئیاں,ਫਾਤਿਮਾ ਤੋਂ ਗੱਡੀਆਂ ਡਿੱਗ ਗਈਆਂ
Base,ببلو سے کتاب الٹ گئی تھی,Bablu had accidentally flipped the book,ببلو توں کتاب الٹ گئی سی,ਬਬਲੂ ਤੋਂ ਕਿਤਾਬ ਉਲਟ ਗਈ ਸੀ
Base,استاد سے دروازے ٹوٹ گئے,the teacher accidentally broke the doors,استاد توں بوہے ٹُٹ گئے,ਉਸਤਾਦ ਤੋਂ ਬੂਹੇ ਟੁੱਟ ਗਏ
Base,موٹو سے گڑیاں گر گئیں,Motu accidentally dropped the dolls,موٹو توں گڈیاں ڈِگ گئیاں,ਮੋਟੂ ਤੋਂ ਗੱਡੀਆਂ ਡਿੱਗ ਗਈਆਂ
Base,رانی سے قلم کھسک گئے,the queen accidentally moved the pen,رانی توں قلم کھسک گئے,ਰਾਨੀ ਤੋਂ ਕਲਮ ਖਸਕ ਗਏ
Base,استاد سے گلدان ٹوٹ گیا,the teacher accidentally broke the vase,استاد توں گلدان ٹُٹ گیا,ਉਸਤਾਦ ਤੋਂ ਗੁਲਦਾਨ ਟੁੱਟ ਗਿਆ
Base,احمد سے گاڑیاں کھسک گئیں,Ahmed accidentally moved the cars,احمد توں گڈیاں کھسک گئیاں,ਅਹਮਦ ਤੋਂ ਗੱਡੀਆਂ ਖਸਕ ਗਈਆਂ
Base,احمد سے گلدان ٹوٹ رہا ہے,Ahmed is accidentally breaking the vase,احمد توں گلدان ٹُٹ رہا اے,ਅਹਮਦ ਤੋਂ ਗੁਲਦਾਨ ਟੁੱਟ ਰਿਹਾ ਏ
Base,علی سے دروازے کھسک گئے,Ali accidentally moved the doors,علی توں بوہے کھسک گئے,ਅਲੀ ਤੋਂ ਬੂਹੇ ਖਸਕ ਗਏ
Base,راجہ سے صراحیاں گر گئیں,the king accidentally dropped the pitchers,راجا توں صراحیاں ڈِگ گئیاں,ਰਾਜਾ ਤੋਂ ਸੁਰਾਹੀਆਂ ਡਿੱਗ ਗਈਆਂ
Base,ببلو سے چابیاں الٹ گئیں,Bablu accidentally flipped the keys,ببلو توں چابیاں الٹ گئیاں,ਬਬਲੂ ਤੋਂ ਚਾਬੀਆਂ ਉਲਟ ਗਈਆਂ
Base,فاطمہ سے کھلونے ٹوٹ گئے,Fatima accidentally broke the toys,فاطمہ توں کھڈونے ٹُٹ گئے,ਫਾਤਿਮਾ ਤੋਂ ਖਿਡੌਣੇ ਟੁੱਟ ਗਏ
Base,موٹو سے پنسلیں کھسک گئیں,Motu accidentally moved the pencils,موٹو توں پنسلاں کھسک گئیاں,ਮੋਟੂ ਤੋਂ ਪੈਨਸਿਲਾਂ ਖਸਕ ਗਈਆਂ
Base,فاطمہ سے دروازہ ٹوٹ رہا ہے,Fatima is accidentally breaking the door,فاطمہ توں بوہا ٹُٹ رہا اے,ਫਾਤਿਮਾ ਤੋਂ ਬੂਹਾ ਟੁੱਟ ਰਿਹਾ ਏ
Base,لڑکی سے قلم الٹ گئے,the girl accidentally flipped the pen,کُڑی توں قلم الٹ گئے,ਕੁੜੀ ਤੋਂ ਕਲਮ ਉਲਟ ਗਏ
Base,موٹو سے صراحیاں گر گئیں,Motu accidentally dropped the pitchers,موٹو توں صراحیاں ڈِگ گئیاں,ਮੋਟੂ ਤੋਂ ਸੁਰਾਹੀਆਂ ਡਿੱਗ ਗਈਆਂ
Base,راجہ سے دروازے جل گئے,the king accidentally burned the doors,راجا توں بوہے سڑ گئے,ਰਾਜਾ ਤੋਂ ਬੂਹੇ ਸੜ ਗਏ
Base,ببلو سے کھلونے جل گئے,Bablu accidentally burned the toys,ببلو توں کھڈونے سڑ گئے,ਬਬਲੂ ਤੋਂ ਖਿਡੌਣੇ ਸੜ ਗਏ
Base,موٹو سے گاڑی الٹ گئی تھی,Motu had accidentally flipped the car,موٹو توں گڈّی الٹ گئی سی,ਮੋਟੂ ਤੋਂ ਗੱਡੀ ਉਲਟ ਗਈ ਸੀ
Base,ببلو سے کھلونے کھسک گئے,Bablu accidentally moved the toys,ببلو توں کھڈونے کھسک گئے,ਬਬਲੂ ਤੋਂ ਖਿਡੌਣੇ ਖਸਕ ਗਏ
Base,لڑکے سے کھلونے گر گئے,the boy accidentally dropped the toys,منڈے توں کھڈونے ڈِگ گئے,ਮੁੰਡੇ ਤੋਂ ਖਿਡੌਣੇ ਡਿੱਗ ਗਏ
Base,ببلو سے چابیاں گر گئیں,Bablu accidentally dropped the keys,ببلو توں چابیاں ڈِگ گئیاں,ਬਬਲੂ ਤੋਂ ਚਾਬੀਆਂ ਡਿੱਗ ਗਈਆਂ
Base,ببلو سے صراحی جل گئی ہے,Bablu has accidentally burned the pitcher,ببلو توں صراحی سڑ گئی اے,ਬਬਲੂ ਤੋਂ ਸੁਰਾਹੀ ਸੜ ਗਈ ਏ
Base,ببلو سے دروازے جل گئے,Bablu accidentally burned the doors,ببلو توں بوہے سڑ گئے,ਬਬਲੂ ਤੋਂ ਬੂਹੇ ਸੜ ਗਏ
Base,رانی سے موبائل جل گیا,the queen accidentally burned the phone,رانی توں موبائل سڑ گیا,ਰਾਨੀ ਤੋਂ ਮੋਬਾਈਲ ਸੜ ਗਿਆ
Base,ببلو سے قلم کھسک رہا ہے,Bablu is accidentally moving the pen,ببلو توں قلم کھسک رہا اے,ਬਬਲੂ ਤੋਂ ਕਲਮ ਖਸਕ ਰਿਹਾ ਏ
Base,احمد سے صراحی گر رہی ہے,Ahmed is accidentally dropping the pitcher,احمد توں صراحی ڈِگ رہی اے,ਅਹਮਦ ਤੋਂ ਸੁਰਾਹੀ ਡਿੱਗ ਰਹੀ ਏ
Base,راجہ سے کتابیں الٹ گئیں,the king accidentally flipped the books,راجا توں کتاباں الٹ گئیاں,ਰਾਜਾ ਤੋਂ ਕਿਤਾਬਾਂ ਉਲਟ ਗਈਆਂ
Base,علی سے گاڑیاں جل گئیں,Ali accidentally burned the cars,علی توں گڈیاں سڑ گئیاں,ਅਲੀ ਤੋਂ ਗੱਡੀਆਂ ਸੜ ਗਈਆਂ
Base,لڑکے سے کتابیں جل گئیں,the boy accidentally burned the books,منڈے توں کتاباں سڑ گئیاں,ਮੁੰਡੇ ਤੋਂ ਕਿਤਾਬਾਂ ਸੜ ਗਈਆਂ
Base,ببلو سے دروازے گر گئے,Bablu accidentally dropped the doors,ببلو توں بوہے ڈِگ گئے,ਬਬਲੂ ਤੋਂ ਬੂਹੇ ਡਿੱਗ ਗਏ
Base,لڑکے سے گڑیاں جل گئیں,the boy accidentally burned the dolls,منڈے توں گڈیاں سڑ گئیاں,ਮੁੰਡੇ ਤੋਂ ਗੱਡੀਆਂ ਸੜ ਗਈਆਂ
Base,رانی سے کھلونے گر گئے,the queen accidentally dropped the toys,رانی توں کھڈونے ڈِگ گئے,ਰਾਨੀ ਤੋਂ ਖਿਡੌਣੇ ਡਿੱਗ ਗਏ
Base,فاطمہ سے کھلونا گر گیا ہے,Fatima has accidentally dropped the toy,فاطمہ توں کھڈونا ڈِگ گیا اے,ਫਾਤਿਮਾ ਤੋਂ ਖਿਡੌਣਾ ਡਿੱਗ ਗਿਆ ਏ
Base,فاطمہ سے کپ ٹوٹ رہا ہے,Fatima is accidentally breaking the cup,فاطمہ توں کپ ٹُٹ رہا اے,ਫਾਤਿਮਾ ਤੋਂ ਕਪ ਟੁੱਟ ਰਿਹਾ ਏ
Base,ثنا سے دروازے جل گئے,Sana accidentally burned the doors,ثنا توں بوہے سڑ گئے,ਸਨਾ ਤੋਂ ਬੂਹੇ ਸੜ ਗਏ
Base,طالبہ سے کپ کھسک گیا,the student accidentally moved the cup,شاگرد توں کپ کھسک گیا,ਸ਼ਾਗਿਰਦ ਤੋਂ ਕਪ ਖਸਕ ਗਿਆ
Base,علی سے کتابیں گر گئیں,Ali accidentally dropped the books,علی توں کتاباں ڈِگ گئیاں,ਅਲੀ ਤੋਂ ਕਿਤਾਬਾਂ ਡਿੱਗ ਗਈਆਂ
Base,احمد سے صراحی الٹ گئی,Ahmed accidentally flipped the pitcher,احمد توں صراحی الٹ گئی,ਅਹਮਦ ਤੋਂ ਸੁਰਾਹੀ ਉਲਟ ਗਈ
Base,راجہ سے صراحیاں کھسک گئیں,the king accidentally moved the pitchers,راجا توں صراحیاں کھسک گئیاں,ਰਾਜਾ ਤੋਂ ਸੁਰਾਹੀਆਂ ਖਸਕ ਗਈਆਂ
Base,طالبہ سے کھلونے جل گئے,the student accidentally burned the toys,شاگرد توں کھڈونے سڑ گئے,ਸ਼ਾਗਿਰਦ ਤੋਂ ਖਿਡੌਣੇ ਸੜ ਗਏ
Base,علی سے گاڑی کھسک گئی تھی,Ali had accidentally moved the car,علی توں گڈّی کھسک گئی سی,ਅਲੀ ਤੋਂ ਗੱਡੀ ਖਸਕ ਗਈ ਸੀ
Base,علی سے صراحی ٹوٹ گئی,Ali accidentally broke the pitcher,علی توں صراحی ٹُٹ گئی,ਅਲੀ ਤੋਂ ਸੁਰਾਹੀ ਟੁੱਟ ਗਈ
Base,احمد سے دروازے گر گئے,Ahmed accidentally dropped the doors,احمد توں بوہے ڈِگ گئے,ਅਹਮਦ ਤੋਂ ਬੂਹੇ ਡਿੱਗ ਗਏ
Base,ثنا سے کھلونے گر گئے,Sana accidentally dropped the toys,ثنا توں کھڈونے ڈِگ گئے,ਸਨਾ ਤੋਂ ਖਿਡੌਣੇ ਡਿੱਗ ਗਏ
Base,لڑکی سے کپ گر گیا,the girl accidentally dropped the cup,کُڑی توں کپ ڈِگ گیا,ਕੁੜੀ ਤੋਂ ਕਪ ਡਿੱਗ ਗਿਆ
Base,رانی سے صراحیاں جل گئیں,the queen accidentally burned the pitchers,رانی توں صراحیاں سڑ گئیاں,ਰਾਨੀ ਤੋਂ ਸੁਰਾਹੀਆਂ ਸੜ ਗਈਆਂ
Base,لڑکی سے قلم جل گیا تھا,the girl had accidentally burned the pen,کُڑی توں قلم سڑ گیا سی,ਕੁੜੀ ਤੋਂ ਕਲਮ ਸੜ ਗਿਆ ਸੀ
Base,علی سے پنسل ٹوٹ گئی تھی,Ali had accidentally broke the pencil,علی توں پنسل ٹُٹ گئی سی,ਅਲੀ ਤੋਂ ਪੈਨਸਿਲ ਟੁੱਟ ਗਈ ਸੀ
Base,راجہ سے گاڑیاں ٹوٹ گئیں,the king accidentally broke the cars,راجا توں گڈیاں ٹُٹ گئیاں,ਰਾਜਾ ਤੋਂ ਗੱਡੀਆਂ ਟੁੱਟ ਗਈਆਂ
Base,ببلو سے موبائل جل جائے گا,Bablu will accidentally burn the phone,ببلو توں موبائل سڑ جاوے گا,ਬਬਲੂ ਤੋਂ ਮੋਬਾਈਲ ਸੜ ਜਾਵੇਗਾ
Base,احمد سے گاڑیاں الٹ گئیں,Ahmed accidentally flipped the cars,احمد توں گڈیاں الٹ گئیاں,ਅਹਮਦ ਤੋਂ ਗੱਡੀਆਂ ਉਲਟ ਗਈਆਂ
Base,راجہ سے دروازہ جل گیا تھا,the king had accidentally burned the door,راجا توں بوہا سڑ گیا سی,ਰਾਜਾ ਤੋਂ ਬੂਹਾ ਸੜ ਗਿਆ ਸੀ
Base,موٹو سے دروازے کھسک گئے,Motu accidentally moved the doors,موٹو توں بوہے کھسک گئے,ਮੋਟੂ ਤੋਂ ਬੂਹੇ ਖਸਕ ਗਏ
Base,فاطمہ سے دروازے گر گئے,Fatima accidentally dropped the doors,فاطمہ توں بوہے ڈِگ گئے,ਫਾਤਿਮਾ ਤੋਂ ਬੂਹੇ ਡਿੱਗ ਗਏ
Base,ببلو سے گاڑیاں ٹوٹ گئیں,Bablu accidentally broke the cars,ببلو توں گڈیاں ٹُٹ گئیاں,ਬਬਲੂ ਤੋਂ ਗੱਡੀਆਂ ਟੁੱਟ ਗਈਆਂ
Base,علی سے دروازہ کھسک رہا ہے,Ali is accidentally moving the door,علی توں بوہا کھسک رہا اے,ਅਲੀ ਤੋਂ ਬੂਹਾ ਖਸਕ ਰਿਹਾ ਏ
Base,طالبہ سے کھلونا کھسک گیا,the student accidentally moved the toy,شاگرد توں کھڈونا کھسک گیا,ਸ਼ਾਗਿਰਦ ਤੋਂ ਖਿਡੌਣਾ ਖਸਕ ਗਿਆ
Base,لڑکی سے دروازہ ٹوٹ جائے گا,the girl will accidentally break the door,کُڑی توں بوہا ٹُٹ جاوے گا,ਕੁੜੀ ਤੋਂ ਬੂਹਾ ਟੁੱਟ ਜਾਵੇਗਾ
Base,موٹو سے قلم کھسک گیا,Motu accidentally moved the pen,موٹو توں قلم کھسک گیا,ਮੋਟੂ ਤੋਂ ਕਲਮ ਖਸਕ ਗਿਆ
Base,لڑکی سے گڑیاں الٹ گئیں,the girl accidentally flipped the dolls,کُڑی توں گڈیاں الٹ گئیاں,ਕੁੜੀ ਤੋਂ ਗੱਡੀਆਂ ਉਲਟ ਗਈਆਂ
Base,ثنا سے پنسل الٹ گئی,Sana accidentally flipped the pencil,ثنا توں پنسل الٹ گئی,ਸਨਾ ਤੋਂ ਪੈਨਸਿਲ ਉਲਟ ਗਈ
Base,ثنا سے گڑیا گر گئی تھی,Sana had accidentally dropped the doll,ثنا توں گڈی ڈِگ گئی سی,ਸਨਾ ਤੋਂ ਗੱਡੀ ਡਿੱਗ ਗਈ ਸੀ
Base,لڑکی سے کھلونے جل گئے,the girl accidentally burned the toys,کُڑی توں کھڈونے سڑ گئے,ਕੁੜੀ ਤੋਂ ਖਿਡੌਣੇ ਸੜ ਗਏ
Base,موٹو سے قلم گر گیا,Motu accidentally dropped the pen,موٹو توں قلم ڈِگ گیا,ਮੋਟੂ ਤੋਂ ਕਲਮ ਡਿੱਗ ਗਿਆ
Base,ثنا سے دروازے الٹ گئے,Sana accidentally flipped the doors,ثنا توں بوہے الٹ گئے,ਸਨਾ ਤੋਂ ਬੂਹੇ ਉਲਟ ਗਏ
Base,لڑکے سے قلم الٹ گئے,the boy accidentally flipped the pen,منڈے توں قلم الٹ گئے,ਮੁੰਡੇ ਤੋਂ ਕਲਮ ਉਲਟ ਗਏ
Base,ثنا سے گڑیاں ٹوٹ گئیں,Sana accidentally broke the dolls,ثنا توں گڈیاں ٹُٹ گئیاں,ਸਨਾ ਤੋਂ ਗੱਡੀਆਂ ਟੁੱਟ ਗਈਆਂ
Base,ببلو سے قلم الٹ گئے,Bablu accidentally flipped the pen,ببلو توں قلم الٹ گئے,ਬਬਲੂ ਤੋਂ ਕਲਮ ਉਲਟ ਗਏ
Base,لڑکے سے چابیاں ٹوٹ گئیں,the boy accidentally broke the keys,منڈے توں چابیاں ٹُٹ گئیاں,ਮੁੰਡੇ ਤੋਂ ਚਾਬੀਆਂ ਟੁੱਟ ਗਈਆਂ
Base,فاطمہ سے چابیاں کھسک گئیں,Fatima accidentally moved the keys,فاطمہ توں چابیاں کھسک گئیاں,ਫਾਤਿਮਾ ਤੋਂ ਚਾਬੀਆਂ ਖਸਕ ਗਈਆਂ
Base,لڑکے سے موبائل جل رہا ہے,the boy is accidentally burning the phone,منڈے توں موبائل سڑ رہا اے,ਮੁੰਡੇ ਤੋਂ ਮੋਬਾਈਲ ਸੜ ਰਿਹਾ ਏ
Base,موٹو سے گاڑی ٹوٹ گئی,Motu accidentally broke the car,موٹو توں گڈّی ٹُٹ گئی,ਮੋਟੂ ਤੋਂ ਗੱਡੀ ਟੁੱਟ ਗਈ
Base,طالبہ سے گاڑی الٹ گئی تھی,the student had accidentally flipped the car,شاگرد توں گڈّی الٹ گئی سی,ਸ਼ਾਗਿਰਦ ਤੋਂ ਗੱਡੀ ਉਲਟ ਗਈ ਸੀ
Base,استاد سے قلم گر گئے,the teacher accidentally dropped the pen,استاد توں قلم ڈِگ گئے,ਉਸਤਾਦ ਤੋਂ ਕਲਮ ਡਿੱਗ ਗਏ
Base,علی سے چابی کھسک رہی ہے,Ali is accidentally moving the key,علی توں کنجی کھسک رہی اے,ਅਲੀ ਤੋਂ ਕੁੰਜੀ ਖਸਕ ਰਹੀ ਏ
Base,فاطمہ سے گاڑیاں جل گئیں,Fatima accidentally burned the cars,فاطمہ توں گڈیاں سڑ گئیاں,ਫਾਤਿਮਾ ਤੋਂ ਗੱਡੀਆਂ ਸੜ ਗਈਆਂ
Base,ببلو سے پنسل ٹوٹ گئی ہے,Bablu has accidentally broke the pencil,ببلو توں پنسل ٹُٹ گئی اے,ਬਬਲੂ ਤੋਂ ਪੈਨਸਿਲ ਟੁੱਟ ਗਈ ਏ
Base,لڑکے سے کتاب کھسک گئی,the boy accidentally moved the book,منڈے توں کتاب کھسک گئی,ਮੁੰਡੇ ਤੋਂ ਕਿਤਾਬ ਖਸਕ ਗਈ
Base,احمد سے دروازے ٹوٹ گئے,Ahmed accidentally broke the doors,احمد توں بوہے ٹُٹ گئے,ਅਹਮਦ ਤੋਂ ਬੂਹੇ ਟੁੱਟ ਗਏ
Base,رانی سے قلم الٹ گئے,the queen accidentally flipped the pen,رانی توں قلم الٹ گئے,ਰਾਨੀ ਤੋਂ ਕਲਮ ਉਲਟ ਗਏ
Base,ثنا سے دروازے ٹوٹ گئے,Sana accidentally broke the doors,ثنا توں بوہے ٹُٹ گئے,ਸਨਾ ਤੋਂ ਬੂਹੇ ਟੁੱਟ ਗਏ
Base,فاطمہ سے گڑیاں ٹوٹ گئیں,Fatima accidentally broke the dolls,فاطمہ توں گڈیاں ٹُٹ گئیاں,ਫਾਤਿਮਾ ਤੋਂ ਗੱਡੀਆਂ ਟੁੱਟ ਗਈਆਂ
Base,لڑکے سے دروازہ کھسک گیا,the boy accidentally moved the door,منڈے توں بوہا کھسک گیا,ਮੁੰਡੇ ਤੋਂ ਬੂਹਾ ਖਸਕ ਗਿਆ
Base,طالبہ سے کتابیں ٹوٹ گئیں,the student accidentally broke the books,شاگرد توں کتاباں ٹُٹ گئیاں,ਸ਼ਾਗਿਰਦ ਤੋਂ ਕਿਤਾਬਾਂ ਟੁੱਟ ਗਈਆਂ
Base,رانی سے موبائل گر رہا ہے,the queen is accidentally dropping the phone,رانی توں موبائل ڈِگ رہا اے,ਰਾਨੀ ਤੋਂ ਮੋਬਾਈਲ ਡਿੱਗ ਰਿਹਾ ਏ
Base,فاطمہ سے چابی کھسک گئی تھی,Fatima had accidentally moved the key,فاطمہ توں کنجی کھسک گئی سی,ਫਾਤਿਮਾ ਤੋਂ ਕੁੰਜੀ ਖਸਕ ਗਈ ਸੀ
Base,موٹو سے پنسل گر گئی ہے,Motu has accidentally dropped the pencil,موٹو توں پنسل ڈِگ گئی اے,ਮੋਟੂ ਤੋਂ ਪੈਨਸਿਲ ਡਿੱਗ ਗਈ ਏ
Base,موٹو سے گاڑیاں کھسک گئیں,Motu accidentally moved the cars,موٹو توں گڈیاں کھسک گئیاں,ਮੋਟੂ ਤੋਂ ਗੱਡੀਆਂ ਖਸਕ ਗਈਆਂ
Base,ثنا سے قلم ٹوٹ گیا ہے,Sana has accidentally broke the pen,ثنا توں قلم ٹُٹ گیا اے,ਸਨਾ ਤੋਂ ਕਲਮ ਟੁੱਟ ਗਿਆ ਏ
Base,ببلو سے کھلونا کھسک رہا ہے,Bablu is accidentally moving the toy,ببلو توں کھڈونا کھسک رہا اے,ਬਬਲੂ ਤੋਂ ਖਿਡੌਣਾ ਖਸਕ ਰਿਹਾ ਏ
Base,احمد سے پنسلیں جل گئیں,Ahmed accidentally burned the pencils,احمد توں پنسلاں سڑ گئیاں,ਅਹਮਦ ਤੋਂ ਪੈਨਸਿਲਾਂ ਸੜ ਗਈਆਂ
Base,لڑکے سے کھلونا گر رہا ہے,the boy is accidentally dropping the toy,منڈے توں کھڈونا ڈِگ رہا اے,ਮੁੰਡੇ ਤੋਂ ਖਿਡੌਣਾ ਡਿੱਗ ਰਿਹਾ ਏ
Base,استاد سے گاڑیاں گر گئیں,the teacher accidentally dropped the cars,استاد توں گڈیاں ڈِگ گئیاں,ਉਸਤਾਦ ਤੋਂ ਗੱਡੀਆਂ ਡਿੱਗ ਗਈਆਂ
Base,ببلو سے موبائل گر رہا ہے,Bablu is accidentally dropping the phone,ببلو توں موبائل ڈِگ رہا اے,ਬਬਲੂ ਤੋਂ ਮੋਬਾਈਲ ਡਿੱਗ ਰਿਹਾ ਏ
Base,احمد سے گڑیاں گر گئیں,Ahmed accidentally dropped the dolls,احمد توں گڈیاں ڈِگ گئیاں,ਅਹਮਦ ਤੋਂ ਗੱਡੀਆਂ ਡਿੱਗ ਗਈਆਂ
Base,ثنا سے گڑیا ٹوٹ رہی ہے,Sana is accidentally breaking the doll,ثنا توں گڈی ٹُٹ رہی اے,ਸਨਾ ਤੋਂ ਗੱਡੀ ਟੁੱਟ ਰਹੀ ਏ
Base,لڑکے سے گڑیا الٹ جائے گی,the boy will accidentally flip the doll,منڈے توں گڈی الٹ جاوے گی,ਮੁੰਡੇ ਤੋਂ ਗੱਡੀ ਉਲਟ ਜਾਵੇਗੀ
Base,راجہ سے دروازے ٹوٹ گئے,the king accidentally broke the doors,راجا توں بوہے ٹُٹ گئے,ਰਾਜਾ ਤੋਂ ਬੂਹੇ ਟੁੱਟ ਗਏ
Base,فاطمہ سے گڑیاں جل گئیں,Fatima accidentally burned the dolls,فاطمہ توں گڈیاں سڑ گئیاں,ਫਾਤਿਮਾ ਤੋਂ ਗੱਡੀਆਂ ਸੜ ਗਈਆਂ
Base,استاد سے چابی ٹوٹ رہی ہے,the teacher is accidentally breaking the key,استاد توں کنجی ٹُٹ رہی اے,ਉਸਤਾਦ ਤੋਂ ਕੁੰਜੀ ਟੁੱਟ ਰਹੀ ਏ
Base,علی سے دروازہ الٹ گیا تھا,Ali had accidentally flipped the door,علی توں بوہا الٹ گیا سی,ਅਲੀ ਤੋਂ ਬੂਹਾ ਉਲਟ ਗਿਆ ਸੀ
