frame,urdu,english,punjabi,punjabi_gur,gold
Base,لڑکی نے دروازہ توڑ دیا,the girl broke the door,کُڑی نے بوہا توڑ دِتا,ਕੁੜੀ ਨੇ ਬੂਹਾ ਤੋੜ ਦਿੱਤਾ,VOL
Base,فاطمہ نے گلدان جلا دیا,Fatima burned the vase,فاطمہ نے گلدان ساڑ دِتا,ਫਾਤਿਮਾ ਨੇ ਗੁਲਦਾਨ ਸਾੜ ਦਿੱਤਾ,VOL
Base,لڑکے نے پنسل گندی کر دی,the boy dirtied the pencil,منڈے نے پنسل گندی کر دتی,ਮੁੰਡੇ ਨੇ ਪੈਨਸਿਲ ਗੰਦੀ ਕਰ ਦਿੱਤੀ,VOL
Base,رانی نے دروازہ الٹا دیا,the queen flipped the door,رانی نے بوہا الٹا دتا,ਰਾਨੀ ਨੇ ਬੂਹਾ ਉਲਟਾ ਦਿੱਤਾ,VOL
Base,ببلو نے موبائل گندا کر دیا,Bablu dirtied the phone,ببلو نے موبائل گندا کر دتا,ਬਬਲੂ ਨੇ ਮੋਬਾਈਲ ਗੰਦਾ ਕਰ ਦਿੱਤਾ,VOL
Base,استاد نے کتاب گندی کر دی,the teacher dirtied the book,استاد نے کتاب گندی کر دتی,ਉਸਤਾਦ ਨੇ ਕਿਤਾਬ ਗੰਦੀ ਕਰ ਦਿੱਤੀ,VOL
Base,احمد نے دروازہ گما دیا,Ahmed lost the door,احمد نے بوہا گما دتا,ਅਹਮਦ ਨੇ ਬੂਹਾ ਗੁਆ ਦਿੱਤਾ,VOL
Base,لڑکی نے پنسل چھوڑ دی,the girl let go of the pencil,کُڑی نے پنسل چھڈ دِتی,ਕੁੜੀ ਨੇ ਪੈਨਸਿਲ ਛੱਡ ਦਿੱਤੀ,VOL
Base,علی نے قلم گندا کر دیا,Ali dirtied the pen,علی نے قلم گندا کر دتا,ਅਲੀ ਨੇ ਕਲਮ ਗੰਦਾ ਕਰ ਦਿੱਤਾ,VOL
Base,علی نے صراحی کھسکا دی,Ali moved the pitcher,علی نے صراحی کھسکا دتی,ਅਲੀ ਨੇ ਸੁਰਾਹੀ ਖਸਕਾ ਦਿੱਤੀ,VOL
Base,استاد نے گاڑی کھسکا دی,the teacher moved the car,استاد نے گڈّی کھسکا دتی,ਉਸਤਾਦ ਨੇ ਗੱਡੀ ਖਸਕਾ ਦਿੱਤੀ,VOL
Base,ثنا نے کپ پکڑ لیا,Sana caught the cup,ثنا نے کپ پھڑ لیا,ਸਨਾ ਨੇ ਕਪ ਫੜ ਲਿਆ,VOL
Base,راجہ نے کھلونا چھوڑ دیا,the king released the toy,راجا نے کھڈونا چھڈ دِتا,ਰਾਜਾ ਨੇ ਖਿਡੌਣਾ ਛੱਡ ਦਿੱਤਾ,VOL
Base,فاطمہ نے کپ پکڑ لیا,Fatima caught the cup,فاطمہ نے کپ پھڑ لیا,ਫਾਤਿਮਾ ਨੇ ਕਪ ਫੜ ਲਿਆ,VOL
Base,رانی نے گلدان توڑ دیا,the queen broke the vase,رانی نے گلدان توڑ دِتا,ਰਾਨੀ ਨੇ ਗੁਲਦਾਨ ਤੋੜ ਦਿੱਤਾ,VOL
Base,طالبہ نے گڑیا چھوڑ دی,the student let go of the doll,شاگرد نے گڈی چھڈ دِتی,ਸ਼ਾਗਿਰਦ ਨੇ ਗੱਡੀ ਛੱਡ ਦਿੱਤੀ,VOL
Base,ثنا نے قلم چھوڑ دیا,Sana released the pen,ثنا نے قلم چھڈ دِتا,ਸਨਾ ਨੇ ਕਲਮ ਛੱਡ ਦਿੱਤਾ,VOL
Base,ثنا نے قلم گندا کر دیا,Sana dirtied the pen,ثنا نے قلم گندا کر دتا,ਸਨਾ ਨੇ ਕਲਮ ਗੰਦਾ ਕਰ ਦਿੱਤਾ,VOL
Base,فاطمہ نے دروازہ الٹا دیا,Fatima flipped the door,فاطمہ نے بوہا الٹا دتا,ਫਾਤਿਮਾ ਨੇ ਬੂਹਾ ਉਲਟਾ ਦਿੱਤਾ,VOL
Base,ببلو نے کتاب توڑ دی تھی,Bablu broke the book,ببلو نے کتاب توڑ دِتی سی,ਬਬਲੂ ਨੇ ਕਿਤਾਬ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Base,احمد نے کپ الٹا دیا,Ahmed flipped the cup,احمد نے کپ الٹا دتا,ਅਹਮਦ ਨੇ ਕਪ ਉਲਟਾ ਦਿੱਤਾ,VOL
Base,علی نے پنسل گما دی,Ali lost the pencil,علی نے پنسل گما دتی,ਅਲੀ ਨੇ ਪੈਨਸਿਲ ਗੁਆ ਦਿੱਤੀ,VOL
Base,لڑکی نے قلم گرا دیا,the girl dropped the pen,کُڑی نے قلم ڈھا دِتا,ਕੁੜੀ ਨੇ ਕਲਮ ਢਾਹ ਦਿੱਤਾ,VOL
Base,رانی نے پنسل چھوڑ دی,the queen let go of the pencil,رانی نے پنسل چھڈ دِتی,ਰਾਨੀ ਨੇ ਪੈਨਸਿਲ ਛੱਡ ਦਿੱਤੀ,VOL
Base,موٹو نے گلدان الٹا دیا,Motu flipped the vase,موٹو نے گلدان الٹا دتا,ਮੋਟੂ ਨੇ ਗੁਲਦਾਨ ਉਲਟਾ ਦਿੱਤਾ,VOL
Base,علی نے کتاب توڑ دی تھی,Ali broke the book,علی نے کتاب توڑ دِتی سی,ਅਲੀ ਨੇ ਕਿਤਾਬ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Base,فاطمہ نے گڑیا توڑ دی تھی,Fatima broke the doll,فاطمہ نے گڈی توڑ دِتی سی,ਫਾਤਿਮਾ ਨੇ ਗੱਡੀ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Base,ببلو نے موبائل کھسکا دیا,Bablu moved the phone,ببلو نے موبائل کھسکا دتا,ਬਬਲੂ ਨੇ ਮੋਬਾਈਲ ਖਸਕਾ ਦਿੱਤਾ,VOL
Base,علی نے کپ پکڑ لیا,Ali caught the cup,علی نے کپ پھڑ لیا,ਅਲੀ ਨੇ ਕਪ ਫੜ ਲਿਆ,VOL
Base,طالبہ نے دروازہ الٹا دیا,the student flipped the door,شاگرد نے بوہا الٹا دتا,ਸ਼ਾਗਿਰਦ ਨੇ ਬੂਹਾ ਉਲਟਾ ਦਿੱਤਾ,VOL
Base,فاطمہ نے پنسل چھوڑ دی,Fatima let go of the pencil,فاطمہ نے پنسل چھڈ دِتی,ਫਾਤਿਮਾ ਨੇ ਪੈਨਸਿਲ ਛੱਡ ਦਿੱਤੀ,VOL
Base,طالبہ نے گڑیا توڑ دی تھی,the student broke the doll,شاگرد نے گڈی توڑ دِتی سی,ਸ਼ਾਗਿਰਦ ਨੇ ਗੱਡੀ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Base,ببلو نے کتاب کھسکا دی,Bablu moved the book,ببلو نے کتاب کھسکا دتی,ਬਬਲੂ ਨੇ ਕਿਤਾਬ ਖਸਕਾ ਦਿੱਤੀ,VOL
Base,ببلو نے کتاب گما دی,Bablu lost the book,ببلو نے کتاب گما دتی,ਬਬਲੂ ਨੇ ਕਿਤਾਬ ਗੁਆ ਦਿੱਤੀ,VOL
Base,راجہ نے پنسل کھسکا دی,the king moved the pencil,راجا نے پنسل کھسکا دتی,ਰਾਜਾ ਨੇ ਪੈਨਸਿਲ ਖਸਕਾ ਦਿੱਤੀ,VOL
Base,راجہ نے قلم کھسکا دیا,the king moved the pen,راجا نے قلم کھسکا دتا,ਰਾਜਾ ਨੇ ਕਲਮ ਖਸਕਾ ਦਿੱਤਾ,VOL
Base,علی نے کپ چھوڑ دیا,Ali released the cup,علی نے کپ چھڈ دِتا,ਅਲੀ ਨੇ ਕਪ ਛੱਡ ਦਿੱਤਾ,VOL
Base,موٹو نے دروازہ چھوڑ دیا,Motu released the door,موٹو نے بوہا چھڈ دِتا,ਮੋਟੂ ਨੇ ਬੂਹਾ ਛੱਡ ਦਿੱਤਾ,VOL
Base,علی نے موبائل گندا کر دیا,Ali dirtied the phone,علی نے موبائل گندا کر دتا,ਅਲੀ ਨੇ ਮੋਬਾਈਲ ਗੰਦਾ ਕਰ ਦਿੱਤਾ,VOL
Base,استاد نے کپ جلا دیا,the teacher burned the cup,استاد نے کپ ساڑ دِتا,ਉਸਤਾਦ ਨੇ ਕਪ ਸਾੜ ਦਿੱਤਾ,VOL
Base,ثنا نے پنسل توڑ دی تھی,Sana broke the pencil,ثنا نے پنسل توڑ دِتی سی,ਸਨਾ ਨੇ ਪੈਨਸਿਲ ਤੋੜ ਦਿੱਤੀ ਸੀ,VOL
Base,ثنا نے قلم جلا دیا,Sana burned the pen,ثنا نے قلم ساڑ دِتا,ਸਨਾ ਨੇ ਕਲਮ ਸਾੜ ਦਿੱਤਾ,VOL
Base,استاد نے کپ گندا کر دیا,the teacher dirtied the cup,استاد نے کپ گندا کر دتا,ਉਸਤਾਦ ਨੇ ਕਪ ਗੰਦਾ ਕਰ ਦਿੱਤਾ,VOL
Base,استاد نے چابی پکڑ لی,the teacher caught the key,استاد نے کنجی پھڑ لئی,ਉਸਤਾਦ ਨੇ ਕੁੰਜੀ ਫੜ ਲਈ,VOL
Base,ببلو نے گلدان جلا دیا,Bablu burned the vase,ببلو نے گلدان ساڑ دِتا,ਬਬਲੂ ਨੇ ਗੁਲਦਾਨ ਸਾੜ ਦਿੱਤਾ,VOL
Base,رانی نے کتاب چھوڑ دی,the queen let go of the book,رانی نے کتاب چھڈ دِتی,ਰਾਨੀ ਨੇ ਕਿਤਾਬ ਛੱਡ ਦਿੱਤੀ,VOL
Base,ببلو نے کپ پکڑ لیا,Bablu caught the cup,ببلو نے کپ پھڑ لیا,ਬਬਲੂ ਨੇ ਕਪ ਫੜ ਲਿਆ,VOL
Base,ثنا نے قلم گما دیا,Sana lost the pen,ثنا نے قلم گما دتا,ਸਨਾ ਨੇ ਕਲਮ ਗੁਆ ਦਿੱਤਾ,VOL
Base,رانی نے چابی گرا دی,the queen dropped the key,رانی نے کنجی ڈھا دِتی,ਰਾਨੀ ਨੇ ਕੁੰਜੀ ਢਾਹ ਦਿੱਤੀ,VOL
Base,علی نے گڑیا الٹا دی,Ali flipped the doll,علی نے گڈی الٹا دتی,ਅਲੀ ਨੇ ਗੱਡੀ ਉਲਟਾ ਦਿੱਤੀ,VOL
Base,لڑکے نے کتاب پکڑ لی,the boy caught the book,منڈے نے کتاب پھڑ لئی,ਮੁੰਡੇ ਨੇ ਕਿਤਾਬ ਫੜ ਲਈ,VOL
Base,رانی نے گڑیا کھسکا دی,the queen moved the doll,رانی نے گڈی کھسکا دتی,ਰਾਨੀ ਨੇ ਗੱਡੀ ਖਸਕਾ ਦਿੱਤੀ,VOL
Base,موٹو نے گلدان گرا دیا,Motu dropped the vase,موٹو نے گلدان ڈھا دِتا,ਮੋਟੂ ਨੇ ਗੁਲਦਾਨ ਢਾਹ ਦਿੱਤਾ,VOL
Base,راجہ نے چابی گما دی,the king lost the key,راجا نے کنجی گما دتی,ਰਾਜਾ ਨੇ ਕੁੰਜੀ ਗੁਆ ਦਿੱਤੀ,VOL
Base,ثنا نے صراحی گرا دی,Sana dropped the pitcher,ثنا نے صراحی ڈھا دِتی,ਸਨਾ ਨੇ ਸੁਰਾਹੀ ਢਾਹ ਦਿੱਤੀ,VOL
Base,راجہ نے موبائل گما دیا,the king lost the phone,راجا نے موبائل گما دتا,ਰਾਜਾ ਨੇ ਮੋਬਾਈਲ ਗੁਆ ਦਿੱਤਾ,VOL
Base,لڑکے نے دروازہ چھوڑ دیا,the boy released the door,منڈے نے بوہا چھڈ دِتا,ਮੁੰਡੇ ਨੇ ਬੂਹਾ ਛੱਡ ਦਿੱਤਾ,VOL
Base,ببلو نے کتاب گندی کر دی,Bablu dirtied the book,ببلو نے کتاب گندی کر دتی,ਬਬਲੂ ਨੇ ਕਿਤਾਬ ਗੰਦੀ ਕਰ ਦਿੱਤੀ,VOL
Base,ببلو نے گڑیا چھوڑ دی,Bablu let go of the doll,ببلو نے گڈی چھڈ دِتی,ਬਬਲੂ ਨੇ ਗੱਡੀ ਛੱਡ ਦਿੱਤੀ,VOL
Base,راجہ نے کتاب چھوڑ دی,the king let go of the book,راجا نے کتاب چھڈ دِتی,ਰਾਜਾ ਨੇ ਕਿਤਾਬ ਛੱਡ ਦਿੱਤੀ,VOL
Base,طالبہ نے قلم گرا دیا,the student dropped the pen,شاگرد نے قلم ڈھا دِتا,ਸ਼ਾਗਿਰਦ ਨੇ ਕਲਮ ਢਾਹ ਦਿੱਤਾ,VOL
Base,طالبہ نے موبائل کھسکا دیا,the student moved the phone,شاگرد نے موبائل کھسکا دتا,ਸ਼ਾਗਿਰਦ ਨੇ ਮੋਬਾਈਲ ਖਸਕਾ ਦਿੱਤਾ,VOL
Base,لڑکے نے کھلونا کھسکا دیا,the boy moved the toy,منڈے نے کھڈونا کھسکا دتا,ਮੁੰਡੇ ਨੇ ਖਿਡੌਣਾ ਖਸਕਾ ਦਿੱਤਾ,VOL
Base,ثنا نے کھلونا جلا دیا,Sana burned the toy,ثنا نے کھڈونا ساڑ دِتا,ਸਨਾ ਨੇ ਖਿਡੌਣਾ ਸਾੜ ਦਿੱਤਾ,VOL
Base,فاطمہ نے گڑیا کھسکا دی,Fatima moved the doll,فاطمہ نے گڈی کھسکا دتی,ਫਾਤਿਮਾ ਨੇ ਗੱਡੀ ਖਸਕਾ ਦਿੱਤੀ,VOL
Base,موٹو نے کتاب چھوڑ دی,Motu let go of the book,موٹو نے کتاب چھڈ دِتی,ਮੋਟੂ ਨੇ ਕਿਤਾਬ ਛੱਡ ਦਿੱਤੀ,VOL
Base,ببلو نے پنسل پکڑ لی,Bablu caught the pencil,ببلو نے پنسل پھڑ لئی,ਬਬਲੂ ਨੇ ਪੈਨਸਿਲ ਫੜ ਲਈ,VOL
Embedded,ہمیں یقین ہے کہ استاد نے کپ توڑ دیا,the teacher broke the cup,سانوں یقین اے کہ استاد نے کپ توڑ دِتا,ਸਾਨੂੰ ਯਕੀਨ ਹੈ ਕਿ ਉਸਤਾਦ ਨੇ ਕਪ ਤੋੜ ਦਿੱਤਾ,VOL
Embedded,سب نے دیکھا کہ ببلو نے کتاب پکڑ لی,Bablu caught the book,سب نے ویکھیا کہ ببلو نے کتاب پھڑ لئی,ਸਭ ਨੇ ਵੇਖਿਆ ਕਿ ਬਬਲੂ ਨੇ ਕਿਤਾਬ ਫੜ ਲਈ,VOL
Embedded,کسی نے کہا کہ فاطمہ نے گلدان کھسکا دیا,Fatima moved the vase,کسے نے آکھیا کہ فاطمہ نے گلدان کھسکا دتا,ਕਿਸੇ ਨੇ ਆਖਿਆ ਕਿ ਫਾਤਿਮਾ ਨੇ ਗੁਲਦਾਨ ਖਸਕਾ ਦਿੱਤਾ,VOL
Embedded,مجھے معلوم ہے کہ علی نے موبائل گما دیا,Ali lost the phone,مینوں پتہ اے کہ علی نے موبائل گما دتا,ਮੈਨੂੰ ਪਤਾ ਹੈ ਕਿ ਅਲੀ ਨੇ ਮੋਬਾਈਲ ਗੁਆ ਦਿੱਤਾ,VOL
Embedded,اخبار میں لکھا ہے کہ موٹو نے کھلونا کھسکا دیا,Motu moved the toy,اخبار وچ لکھیا اے کہ موٹو نے کھڈونا کھسکا دتا,ਅਖਬਾਰ ਵਿੱਚ ਲਿਖਿਆ ਹੈ ਕਿ ਮੋਟੂ ਨੇ ਖਿਡੌਣਾ ਖਸਕਾ ਦਿੱਤਾ,VOL
Embedded,انہوں نے کہا کہ لڑکے نے کھلونا کھسکا دیا,the boy moved the toy,اوہناں نے آکھیا کہ منڈے نے کھڈونا کھسکا دتا,ਉਹਨਾਂ ਨੇ ਆਖਿਆ ਕਿ ਮੁੰਡੇ ਨੇ ਖਿਡੌਣਾ ਖਸਕਾ ਦਿੱਤਾ,VOL
Embedded,ہمیں یقین ہے کہ استاد نے قلم جلا دیا,the teacher burned the pen,سانوں یقین اے کہ استاد نے قلم ساڑ دِتا,ਸਾਨੂੰ ਯਕੀਨ ਹੈ ਕਿ ਉਸਤਾਦ ਨੇ ਕਲਮ ਸਾੜ ਦਿੱਤਾ,VOL
Embedded,سب نے دیکھا کہ علی نے دروازہ توڑ دیا,Ali broke the door,سب نے ویکھیا کہ علی نے بوہا توڑ دِتا,ਸਭ ਨੇ ਵੇਖਿਆ ਕਿ ਅਲੀ ਨੇ ਬੂਹਾ ਤੋੜ ਦਿੱਤਾ,VOL
Embedded,یہ ثابت ہوا کہ ببلو نے گلدان توڑ دیا,Bablu broke the vase,ایہ ثابت ہویا کہ ببلو نے گلدان توڑ دِتا,ਇਹ ਸਾਬਤ ਹੋਇਆ ਕਿ ਬਬਲੂ ਨੇ ਗੁਲਦਾਨ ਤੋੜ ਦਿੱਤਾ,VOL
Embedded,اخبار میں لکھا ہے کہ احمد نے پنسل گندی کر دی,Ahmed dirtied the pencil,اخبار وچ لکھیا اے کہ احمد نے پنسل گندی کر دتی,ਅਖਬਾਰ ਵਿੱਚ ਲਿਖਿਆ ਹੈ ਕਿ ਅਹਮਦ ਨੇ ਪੈਨਸਿਲ ਗੰਦੀ ਕਰ ਦਿੱਤੀ,VOL
Embedded,اس نے دعویٰ کیا کہ استاد نے چابی گرا دی,the teacher dropped the key,اُنّے دعویٰ کیتا کہ استاد نے کنجی ڈھا دِتی,ਉਸ ਨੇ ਦਾਅਵਾ ਕੀਤਾ ਕਿ ਉਸਤਾਦ ਨੇ ਕੁੰਜੀ ਢਾਹ ਦਿੱਤੀ,VOL
Embedded,میں نے سنا کہ احمد نے دروازہ گرا دیا,Ahmed dropped the door,میں سُنیا کہ احمد نے بوہا ڈھا دِتا,ਮੈਂ ਸੁਣਿਆ ਕਿ ਅਹਮਦ ਨੇ ਬੂਹਾ ਢਾਹ ਦਿੱਤਾ,VOL
Embedded,ہمیں یقین ہے کہ لڑکے نے کپ گما دیا,the boy lost the cup,سانوں یقین اے کہ منڈے نے کپ گما دتا,ਸਾਨੂੰ ਯਕੀਨ ਹੈ ਕਿ ਮੁੰਡੇ ਨੇ ਕਪ ਗੁਆ ਦਿੱਤਾ,VOL
Embedded,انہوں نے کہا کہ علی نے موبائل چھوڑ دیا,Ali released the phone,اوہناں نے آکھیا کہ علی نے موبائل چھڈ دِتا,ਉਹਨਾਂ ਨੇ ਆਖਿਆ ਕਿ ਅਲੀ ਨੇ ਮੋਬਾਈਲ ਛੱਡ ਦਿੱਤਾ,VOL
Embedded,استاد نے سمجھایا کہ ببلو نے قلم پکڑ لیا,Bablu caught the pen,استاد نے سمجھایا کہ ببلو نے قلم پھڑ لیا,ਉਸਤਾਦ ਨੇ ਸਮਝਾਇਆ ਕਿ ਬਬਲੂ ਨੇ ਕਲਮ ਫੜ ਲਿਆ,VOL
Embedded,استاد نے سمجھایا کہ فاطمہ نے قلم گرا دیا,Fatima dropped the pen,استاد نے سمجھایا کہ فاطمہ نے قلم ڈھا دِتا,ਉਸਤਾਦ ਨੇ ਸਮਝਾਇਆ ਕਿ ਫਾਤਿਮਾ ਨੇ ਕਲਮ ਢਾਹ ਦਿੱਤਾ,VOL
Embedded,ہم نے سنا کہ موٹو نے کپ جلا دیا,Motu burned the cup,اساں سُنیا کہ موٹو نے کپ ساڑ دِتا,ਅਸੀਂ ਸੁਣਿਆ ਕਿ ਮੋਟੂ ਨੇ ਕਪ ਸਾੜ ਦਿੱਤਾ,VOL
Embedded,انہوں نے کہا کہ راجہ نے گاڑی جلا دی,the king burned the car,اوہناں نے آکھیا کہ راجا نے گڈّی ساڑ دِتی,ਉਹਨਾਂ ਨੇ ਆਖਿਆ ਕਿ ਰਾਜਾ ਨੇ ਗੱਡੀ ਸਾੜ ਦਿੱਤੀ,VOL
Embedded,اخبار میں لکھا ہے کہ احمد نے چابی پکڑ لی,Ahmed caught the key,اخبار وچ لکھیا اے کہ احمد نے کنجی پھڑ لئی,ਅਖਬਾਰ ਵਿੱਚ ਲਿਖਿਆ ਹੈ ਕਿ ਅਹਮਦ ਨੇ ਕੁੰਜੀ ਫੜ ਲਈ,VOL
Embedded,یہ ثابت ہوا کہ استاد نے موبائل جلا دیا,the teacher burned the phone,ایہ ثابت ہویا کہ استاد نے موبائل ساڑ دِتا,ਇਹ ਸਾਬਤ ਹੋਇਆ ਕਿ ਉਸਤਾਦ ਨੇ ਮੋਬਾਈਲ ਸਾੜ ਦਿੱਤਾ,VOL
Embedded,اخبار میں لکھا ہے کہ ببلو نے چابی گما دی,Bablu lost the key,اخبار وچ لکھیا اے کہ ببلو نے کنجی گما دتی,ਅਖਬਾਰ ਵਿੱਚ ਲਿਖਿਆ ਹੈ ਕਿ ਬਬਲੂ ਨੇ ਕੁੰਜੀ ਗੁਆ ਦਿੱਤੀ,VOL
Embedded,استاد نے سمجھایا کہ ثنا نے پنسل چھوڑ دی,Sana let go of the pencil,استاد نے سمجھایا کہ ثنا نے پنسل چھڈ دِتی,ਉਸਤਾਦ ਨੇ ਸਮਝਾਇਆ ਕਿ ਸਨਾ ਨੇ ਪੈਨਸਿਲ ਛੱਡ ਦਿੱਤੀ,VOL
